Corruption Chance: , Trial 1:, Trial 2:, Trial 3:, Trial 4:, Trial 5:, Trial 6:, Trial 7:, Trial 8:, Trial 9:, Trial 10:, Average: 

No Loss:

0,2097.361, 2106.3830000000003, 2163.272, 2093.482, 2325.91, 2353.038, 2370.986, 2259.258, 2391.787, 2299.0240000000003, 2246.0501000000004
5,2276.8700000000003, 2444.352, 2298.045, 2267.2509999999997, 2481.255, 2251.3990000000003, 2229.9829999999997, 2301.828, 2468.432, 2284.989, 2330.4404000000004
10,2310.479, 2270.3199999999997, 2202.6, 2613.582, 2327.401, 2228.31, 2227.283, 2222.63, 2216.0820000000003, 2626.875, 2324.5562
15,2316.926, 2306.189, 2248.6000000000004, 2292.1420000000003, 2275.9100000000003, 2336.92, 2326.9829999999997, 2798.2290000000003, 2292.449, 2228.857, 2342.3205000000003
20,2287.9939999999997, 2314.365, 2304.3140000000003, 2307.071, 2272.741, 2283.132, 2289.664, 2869.869, 2272.244, 2258.758, 2346.0151999999994
25,2317.454, 2323.138, 2268.3019999999997, 2291.508, 2177.5570000000002, 2276.869, 2216.239, 2345.176, 2122.1890000000003, 3115.4359999999997, 2345.3868
30,2265.1409999999996, 2270.197, 2296.9230000000002, 2313.5029999999997, 2313.093, 2275.988, 2291.1510000000003, 2353.501, 2259.885, 2278.572, 2291.7954
35,2414.908, 2329.519, 2269.155, 2228.506, 3312.3140000000003, 2305.5469999999996, 2275.384, 2284.716, 2331.769, 2313.316, 2406.5134
40,2228.889, 2318.794, 2205.098, 2297.895, 2178.385, 2288.823, 2295.925, 2288.647, 2284.834, 2291.451, 2267.8741
45,2277.221, 2294.502, 3587.85, 2306.93, 2243.325, 2233.913, 2369.991, 2292.785, 2217.211, 2291.335, 2411.5063
50,2313.423, 2299.714, 2288.654, 2287.021, 2326.419, 2259.74, 2265.353, 2283.346, 2269.549, 2261.1180000000004, 2285.4337
55,2174.439, 2282.123, 2327.3709999999996, 2297.141, 2254.399, 2287.545, 3911.057, 2219.246, 2247.12, 2291.366, 2429.1806999999994
60,2267.257, 2274.605, 2356.856, 2340.7079999999996, 2227.987, 2288.265, 2294.488, 2296.6000000000004, 2254.2439999999997, 2307.321, 2290.8331
Package Error Trials:
0,2249.0420000000004, 2281.358, 2253.27, 2333.984, 2271.3269999999998, 2246.593, 2284.424, 2284.94, 2290.512, 2282.939, 2277.8388999999997
5,2664.611, 2480.123, 2542.5879999999997, 2559.113, 2697.4610000000002, 4589.1359999999995, 2506.513, 2535.5530000000003, 2424.328, 2529.7670000000003, 2752.9193
10,2630.5879999999997, 2793.6369999999997, 2770.614, 2855.045, 2838.7250000000004, 2843.309, 2776.999, 2706.904, 2667.256, 2758.619, 2764.1696
15,3030.109, 3082.3010000000004, 3020.844, 2943.8520000000003, 2820.074, 3109.532, 2839.44, 2868.862, 3119.052, 2955.533, 2978.9599000000003
20,3587.379, 3337.4799999999996, 3073.0550000000003, 3342.628, 3492.229, 3300.055, 3154.023, 3126.847, 3203.133, 5674.118, 3529.0947000000006
25,3529.047, 3554.846, 3564.823, 3696.8329999999996, 3750.626, 3587.9539999999997, 3365.329, 3786.238, 3482.797, 3683.431, 3600.1924
30,3819.154, 3787.02, 3899.7419999999997, 3988.07, 3516.514, 3986.3940000000002, 3720.661, 3904.022, 3735.023, 3755.376, 3811.1975999999995
35,4374.959, 4170.882, 4191.387, 4295.616, 4294.006, 4618.215, 4311.423, 4482.246, 4125.1720000000005, 4003.527, 4286.7433
40,4568.703, 4530.3589999999995, 4395.871999999999, 4725.883, 4280.105, 4855.6900000000005, 4270.0509999999995, 4498.397, 4563.785, 7441.174, 4813.0019
45,4656.1849999999995, 4746.327, 4655.161, 5261.054, 4828.713, 5043.474, 4908.633, 4768.879, 4791.358, 5435.819, 4909.5603
50,5520.915999999999, 6139.389999999999, 5594.568, 5257.071, 5288.706999999999, 5470.272, 5249.692, 5071.775, 5361.615, 5501.473, 5445.5479
55,5976.214, 6304.487, 6352.1089999999995, 6206.724999999999, 6602.807000000001, 5617.942, 6208.376, 5701.868, 5720.815, 6056.246, 6074.758900000001
60,6416.647, 6779.348, 6706.339, 6496.271, 6401.802, 6648.813999999999, 6730.465999999999, 6269.255, 6340.2339999999995, 6368.766, 6515.794199999999

ACK Error Trials:
0,2312.949, 2288.813, 2292.633, 2582.52, 2261.038, 2282.022, 6290.340999999999, 2299.734, 2242.779, 2198.389, 2705.1218
5,3612.483, 3805.918, 3261.384, 3832.913, 3464.06, 3685.6969999999997, 3795.585, 3484.34, 3722.578, 3753.936, 3641.8894
10,5147.897999999999, 5401.775, 5192.637000000001, 4808.635, 5595.0509999999995, 5024.657, 5231.92, 5452.146, 5310.211, 5561.301, 5272.6231
15,7066.03, 6556.0380000000005, 7173.8730000000005, 7241.252, 7091.451, 6963.859, 7551.165, 7071.879, 6516.192, 7854.406, 7108.614500000001
20,9671.873, 9012.095000000001, 9296.851, 8067.866999999999, 9067.746, 9124.574, 8730.983999999999, 9086.133, 9154.564, 9129.905, 9034.259199999999
25,11725.424, 11062.805, 11213.27, 10291.753999999999, 11910.332, 10686.681, 11379.131, 11843.503, 11171.276, 15654.374, 11693.855
30,13272.591999999999, 12503.028, 13633.079, 12746.95, 13378.242999999999, 13269.326, 12865.276, 14755.44, 13160.062, 13707.305, 13329.1301
35,14666.078000000001, 16722.908, 16616.958, 17010.304, 15588.122, 15961.319, 16878.38, 15591.182, 16330.642999999998, 15292.859, 16065.875300000003
40,20041.846, 18486.646, 19032.827999999998, 20248.603, 20654.389, 19320.988, 18464.354, 19940.087, 20603.991, 21190.361, 19798.4093
45,21977.29, 24139.711, 24810.876, 23751.783, 23898.594, 22577.341, 23182.643, 23250.882, 22337.73, 23634.727000000003, 23356.157700000003
50,27636.797000000002, 32598.86, 27101.354, 28936.969999999998, 26592.064000000002, 26626.059, 28467.232, 25667.506, 28365.25, 26253.228, 27824.532
55,32276.071000000004, 34310.205, 34703.888, 31732.531000000003, 32099.826999999997, 34023.26, 32967.444, 33825.173, 33365.951, 34057.954000000005, 33336.23040000001
60,39242.214, 40669.992999999995, 42728.746999999996, 41719.095, 41867.304, 41169.309, 40624.289, 38708.736000000004, 40338.257, 39589.475999999995, 40665.742000000006

ACK Packet Loss
0,2184.5690000000004, 2297.919, 2212.411, 2297.034, 2306.1600000000003, 2291.654, 2319.788, 2298.056, 2316.712, 2306.0710000000004, 2283.0374
5,3728.473, 3600.0879999999997, 3557.66, 3345.841, 3615.9539999999997, 4124.238, 3527.016, 3906.2160000000003, 3194.073, 3560.047, 3615.9606
10,12656.332, 5861.360000000001, 5633.604, 4841.610000000001, 5434.759, 5051.738, 5916.414, 4944.903, 5488.487, 5705.907, 6153.511399999999
15,7307.832, 6631.187, 6679.321, 7040.095, 7213.182, 6482.5419999999995, 6540.363, 6626.237, 6866.666, 6879.8859999999995, 6826.7311
20,7630.966, 9086.286, 8712.565, 9206.592999999999, 8906.954000000002, 9033.211, 8959.977, 9477.489, 9750.622, 8679.804, 8944.4467
25,10951.627999999999, 11652.382, 10621.194, 11661.396999999999, 11013.057999999999, 11296.761, 10186.984, 11728.519, 10249.078000000001, 10709.688, 11007.068899999998
30,13852.371, 13021.661, 13490.444, 14707.682, 12490.519, 13929.955, 12166.969, 13582.843, 13110.386999999999, 14000.752, 13435.358299999998
35,16210.131000000001, 15659.417, 14887.712000000001, 15593.062, 14669.999, 16073.689999999999, 15070.938999999998, 16068.866, 15430.196, 16115.538, 15577.954999999998
40,18727.423000000003, 19203.511, 18515.447, 19161.154, 19100.625999999997, 20239.115999999998, 19786.136, 18669.930999999997, 19451.958000000002, 17745.771999999997, 19060.1074
45,24933.644, 23712.051, 22756.013, 22675.161, 21235.449, 23847.388, 23440.761, 24715.146, 25014.528, 32006.068, 24433.6209
50,26932.123, 28177.706000000002, 30069.45, 29319.224, 28501.835, 26606.452, 27563.318, 26767.291, 25692.157000000003, 25928.633, 27555.818900000002
55,35912.24600000001, 32282.438999999995, 33804.651999999995, 33490.854, 32590.604, 31262.463, 32518.49, 31856.206000000002, 32332.690999999995, 29684.372, 32573.501699999993
60,39138.644, 37622.519, 38389.693999999996, 40705.003, 38176.366, 39742.547, 42540.866, 41906.283, 41197.032, 38717.142, 39813.609599999996
Data Package loss trials:

0,2322.292, 2308.228, 2296.871, 2293.232, 2312.763, 2320.0789999999997, 2288.53, 2319.735, 2267.103, 2318.864, 2304.7697
5,2867.242, 2703.16, 2816.201, 2631.933, 2676.549, 2913.257, 2593.001, 2665.024, 2706.491, 2886.594, 2745.9452
10,3219.9339999999997, 3303.3419999999996, 3096.9790000000003, 3580.702, 3271.48, 3475.526, 3179.32, 2974.225, 3449.681, 3309.206, 3286.0395000000003
15,3808.38, 4012.587, 3815.716, 4152.307000000001, 3989.013, 3946.326, 4990.156, 4755.385, 3916.511, 5160.022, 4254.6403
